id,dimension,subject,grade_level,category,subcategory,prompt_text,correct_answer,key_visual_elements,key_steps,misconception,correct_concept,boundary_type
EVB-Sci-ELow-K-CK-F1-001,Knowledge,science,elementary_low,K-CK,K-CK-F1,"Generate an educational video that clearly writes and displays the chemical formula for water, H₂O, showing the subscript notation and labeling each element (hydrogen and oxygen).","H₂O with subscript 2, representing two hydrogen atoms and one oxygen atom",H₂O formula | subscript 2 | hydrogen label | oxygen label,Display the letter H | Add subscript 2 | Display the letter O | Label elements,,,
EVB-Sci-ELow-K-CK-F2-002,Knowledge,science,elementary_low,K-CK,K-CK-F2,"Generate an educational video showing the three states of matter — solid, liquid, and gas — using water as the example, with ice, liquid water, and steam displayed in that order.","Three states: solid (ice), liquid (water), gas (steam/water vapor)",ice cube or frozen form | liquid water | steam or vapor | labels for each state,Show solid ice | Show liquid water | Show gaseous steam | Label each state,,,
EVB-Math-ELow-K-CK-C5-003,Knowledge,math,elementary_low,K-CK,K-CK-C5,Generate an educational video showing two line segments side by side — one 5 cm and one 8 cm — and visually mark the longer segment with a highlight or arrow.,The 8 cm segment is the longer one,5 cm line segment | 8 cm line segment | highlight or arrow on 8 cm segment,Draw first segment (5 cm) | Draw second segment (8 cm) | Compare visually | Mark the longer one,,,
EVB-Math-ELow-K-CK-P3-004,Knowledge,math,elementary_low,K-CK,K-CK-P3,"Generate an educational video solving the addition problem 24 + 38 step by step using column addition, showing carrying over to the tens place, with the final answer 62.",62,column format with 24 and 38 | carry digit 1 above tens column | sum 62,"Write 24 and 38 in column form | Add ones: 4+8=12, write 2 carry 1 | Add tens: 2+3+1=6 | Final answer 62",,,
EVB-Soc-EHigh-K-CK-F2-005,Knowledge,social,elementary_high,K-CK,K-CK-F2,"Generate an educational video showing the seven continents of the world on a map, labeling each one: North America, South America, Europe, Africa, Asia, Australia, and Antarctica.","Seven continents: North America, South America, Europe, Africa, Asia, Australia, Antarctica",world map | seven distinct continents | labels for each continent,Display world map | Highlight each continent | Label all seven continents,,,
EVB-Soc-EHigh-K-CK-C1-006,Knowledge,social,elementary_high,K-CK,K-CK-C1,"Generate an educational video classifying the three branches of the United States government: Legislative (Congress), Executive (President), and Judicial (Supreme Court), with a brief visual for each branch.","Three branches: Legislative (Congress), Executive (President), Judicial (Supreme Court)",three-branch diagram | Capitol building for Legislative | White House for Executive | Supreme Court building for Judicial,Introduce three branches | Show Legislative branch | Show Executive branch | Show Judicial branch,,,
EVB-Art-EHigh-K-CK-F3-007,Knowledge,arts,elementary_high,K-CK,K-CK-F3,"Generate an educational video showing the structure of a musical staff: five horizontal lines, a treble clef at the beginning, and the notes E, G, B, D, F on the lines from bottom to top.","Five-line staff with treble clef; line notes from bottom to top: E, G, B, D, F",five horizontal lines | treble clef | notes on lines | letter labels E G B D F,Draw five lines | Place treble clef | Place notes on each line | Label E G B D F,,,
EVB-Art-EHigh-K-CK-F1-008,Knowledge,arts,elementary_high,K-CK,K-CK-F1,"Generate an educational video displaying the primary colors in painting (red, yellow, blue) and then mixing them in pairs to show the secondary colors: red+yellow=orange, red+blue=purple, yellow+blue=green.","Primary: red, yellow, blue; Secondary: orange, purple, green",three primary color swatches | mixing animation | three secondary color results,"Show red, yellow, blue | Mix red+yellow to get orange | Mix red+blue to get purple | Mix yellow+blue to get green",,,
EVB-Sci-Mid-K-CK-F3-009,Knowledge,science,middle,K-CK,K-CK-F3,"Generate an educational video showing the internal structure of an animal cell, labeling the nucleus, cell membrane, mitochondria, endoplasmic reticulum, and ribosomes.","Animal cell with labeled nucleus, cell membrane, mitochondria, endoplasmic reticulum, and ribosomes",cell outline (no cell wall) | nucleus in center | mitochondria | endoplasmic reticulum | ribosomes,Draw cell membrane | Show nucleus | Add mitochondria | Add ER and ribosomes | Label all organelles,,,
EVB-Sci-Mid-K-CK-C4-010,Knowledge,science,middle,K-CK,K-CK-C4,"Generate an educational video demonstrating that a heavy ball (10 kg) and a light ball (1 kg) dropped simultaneously from the same height in a vacuum will hit the ground at the same time, illustrating Galileo's free fall principle.",Both balls hit the ground at the same time regardless of mass (in a vacuum),heavy ball labeled 10 kg | light ball labeled 1 kg | simultaneous drop | simultaneous landing,Show two balls at same height | Label masses | Release simultaneously | Both land at the same time,,,
EVB-Math-Mid-K-CK-C2-011,Knowledge,math,middle,K-CK,K-CK-C2,"Generate an educational video plotting the graph of y = x² on a coordinate plane and visually demonstrating that the parabola is symmetric about the y-axis by highlighting mirror points such as (2, 4) and (-2, 4).",y = x² is a parabola symmetric about the y-axis,"coordinate axes | parabola y=x² | points (2,4) and (-2,4) | symmetry line on y-axis",Draw coordinate plane | Plot y=x² curve | Mark symmetric points | Draw or indicate y-axis as axis of symmetry,,,
EVB-Math-Mid-K-CK-C3-012,Knowledge,math,middle,K-CK,K-CK-C3,"Generate an educational video presenting the analogy: square is to cube as circle is to ___, and reveal the answer as sphere. Show a 2D square becoming a 3D cube, then a 2D circle becoming a 3D sphere.",Sphere,square shape | cube shape | circle shape | sphere shape | analogy arrows,Show square | Transform to cube | Show circle | Transform to sphere | Display analogy relationship,,,
EVB-Soc-Mid-K-CK-P2-013,Knowledge,social,middle,K-CK,K-CK-P2,"Generate an educational video demonstrating how to read a topographic map: identify contour lines, determine elevation values, find steep vs. gentle slopes by reading contour line spacing, and locate a hilltop.",Topographic map reading: contour lines show elevation; closely spaced lines = steep slope; widely spaced = gentle slope; concentric circles = hilltop,topographic map | contour lines with elevation labels | steep slope area | gentle slope area | hilltop,Show topographic map | Identify contour lines | Read elevation values | Compare line spacing for steepness | Locate hilltop,,,
EVB-Soc-Mid-K-CK-M1-014,Knowledge,social,middle,K-CK,K-CK-M1,"Generate an educational video exploring the interdisciplinary relationship between geography and economics: show how a country's access to natural resources (oil, minerals) influences its GDP and trade patterns, using a world map overlay with resource and economic data.",Countries with abundant natural resources often develop resource-based economies; geographic resource distribution shapes global trade patterns,world map | resource deposit markers | GDP comparison chart | trade route arrows,Show world map with resources | Highlight resource-rich countries | Display GDP data | Draw trade connections,,,
EVB-Sci-High-K-CK-C1-015,Knowledge,science,high,K-CK,K-CK-C1,"Generate an educational video classifying the five major vertebrate classes — fish, amphibians, reptiles, birds, and mammals — showing a representative animal for each class and listing one key characteristic (e.g., fish: gills, mammals: mammary glands).","Five vertebrate classes: Fish (gills), Amphibians (moist skin/metamorphosis), Reptiles (scales/dry skin), Birds (feathers), Mammals (mammary glands/hair)",five animal representatives | class labels | key characteristic for each,Show fish with gills label | Show amphibian with characteristic | Show reptile with scales | Show bird with feathers | Show mammal with key trait,,,
EVB-Sci-High-K-CK-P5-016,Knowledge,science,high,K-CK,K-CK-P5,"Generate an educational video demonstrating the step-by-step procedure of an acid-base titration: filling the burette with NaOH solution, adding phenolphthalein indicator to HCl in the flask, slowly titrating until the solution turns pink at the equivalence point.","Titration procedure: fill burette with NaOH, add indicator to HCl, titrate drop by drop until persistent pink color appears at equivalence point",burette with NaOH | flask with HCl | phenolphthalein indicator | color change to pink | equivalence point,Fill burette with NaOH | Place HCl in flask | Add phenolphthalein | Titrate slowly | Observe color change at equivalence point,,,
EVB-Math-High-K-CK-P3-017,Knowledge,math,high,K-CK,K-CK-P3,"Generate an educational video solving the linear equation 2x + 6 = 14 step by step: subtract 6 from both sides to get 2x = 8, then divide both sides by 2 to get x = 4.",x = 4,equation 2x + 6 = 14 | subtraction step | equation 2x = 8 | division step | answer x = 4,Write 2x + 6 = 14 | Subtract 6 from both sides: 2x = 8 | Divide both sides by 2: x = 4,,,
EVB-Math-High-K-CK-M2-018,Knowledge,math,high,K-CK,K-CK-M2,"Generate an educational video demonstrating strategy selection for solving x² - 5x + 6 = 0: show that factoring is the most efficient method, factor into (x-2)(x-3) = 0, and find solutions x = 2 and x = 3.",x = 2 and x = 3 (by factoring),"original equation | factored form (x-2)(x-3)=0 | solutions x=2, x=3 | strategy comparison note","Show x²-5x+6=0 | Identify factoring as best strategy | Factor to (x-2)(x-3)=0 | Set each factor to zero | Solutions: x=2, x=3",,,
EVB-Art-High-K-CK-C2-019,Knowledge,arts,high,K-CK,K-CK-C2,"Generate an educational video demonstrating bilateral symmetry in visual art: draw a butterfly with identical wing patterns on both sides of a vertical axis of symmetry, highlighting the mirror relationship.",Bilateral symmetry with identical left and right halves reflected across a vertical axis,butterfly outline | vertical axis of symmetry | identical left wing pattern | identical right wing pattern,Draw vertical axis | Draw left wing with pattern | Mirror the pattern on right wing | Highlight symmetry,,,
EVB-Art-High-K-CK-M3-020,Knowledge,arts,high,K-CK,K-CK-M3,Generate an educational video showing a common error in one-point perspective drawing — converging lines that do not meet at a single vanishing point — then correct it by redrawing all lines converging to one vanishing point on the horizon line.,"In one-point perspective, all receding parallel lines must converge at a single vanishing point on the horizon line",incorrect drawing with scattered convergence | horizon line | single vanishing point | corrected drawing,Show incorrect perspective drawing | Identify the error | Draw horizon line with vanishing point | Redraw with correct convergence,,,
EVB-Sci-Col-K-CK-P4-021,Knowledge,science,college,K-CK,K-CK-P4,"Generate an educational video computing the indefinite integral of x² step by step: apply the power rule to get x³/3 + C, showing the formula ∫xⁿ dx = xⁿ⁺¹/(n+1) + C with n = 2.",∫x² dx = x³/3 + C,integral symbol ∫x² dx | power rule formula | substitution n=2 | result x³/3 + C,Write ∫x² dx | State power rule: ∫xⁿ dx = xⁿ⁺¹/(n+1) + C | Substitute n=2 | Compute x³/3 + C,,,
